Date,Close,Open,High,Low
1/5/2024,"2,317.88","2,285.91","2,328.40","2,281.66"
30/4/2024,"2,284.57","2,335.10","2,336.54","2,284.94"
29/4/2024,"2,334.44","2,337.50","2,346.85","2,320.08"
26/4/2024,"2,337.72","2,332.16","2,352.62","2,326.30"
25/4/2024,"2,331.78","2,316.20","2,344.86","2,305.28"
24/4/2024,"2,315.82","2,322.19","2,337.16","2,311.90"
23/4/2024,"2,321.81","2,326.62","2,334.48","2,291.40"
22/4/2024,"2,326.29","2,388.20","2,388.72","2,325.29"
19/4/2024,"2,390.45","2,378.60","2,417.79","2,372.96"
18/4/2024,"2,378.25","2,360.74","2,392.84","2,360.70"
17/4/2024,"2,360.81","2,383.20","2,395.63","2,354.84"
16/4/2024,"2,382.83","2,382.86","2,398.34","2,362.95"
15/4/2024,"2,382.51","2,343.86","2,387.59","2,324.59"
12/4/2024,"2,343.43","2,373.59","2,431.53","2,333.90"
11/4/2024,"2,373.24","2,333.17","2,377.80","2,325.84"
10/4/2024,"2,332.79","2,352.91","2,360.15","2,319.54"
9/4/2024,"2,352.58","2,339.24","2,365.34","2,336.94"
8/4/2024,"2,338.89","2,322.00","2,354.09","2,302.86"
5/4/2024,"2,329.50","2,289.88","2,330.34","2,267.85"
4/4/2024,"2,289.43","2,299.62","2,305.31","2,280.15"
3/4/2024,"2,299.17","2,279.57","2,301.22","2,265.50"
2/4/2024,"2,280.10","2,250.88","2,281.17","2,246.79"
1/4/2024,"2,250.36","2,239.59","2,265.86","2,228.54"
28/3/2024,"2,232.38","2,194.19","2,235.90","2,187.33"
27/3/2024,"2,194.02","2,179.03","2,197.71","2,173.59"
26/3/2024,"2,178.58","2,171.82","2,200.15","2,167.75"
25/3/2024,"2,171.45","2,165.79","2,181.30","2,163.50"
22/3/2024,"2,164.15","2,181.50","2,186.25","2,157.15"
21/3/2024,"2,180.81","2,186.00","2,222.90","2,166.50"
20/3/2024,"2,185.96","2,158.29","2,188.90","2,149.60"
19/3/2024,"2,157.23","2,160.70","2,162.93","2,146.90"
18/3/2024,"2,159.99","2,156.00","2,163.64","2,146.05"
15/3/2024,"2,155.54","2,162.40","2,173.25","2,155.19"
14/3/2024,"2,161.01","2,174.29","2,177.10","2,152.86"
13/3/2024,"2,174.40","2,158.25","2,179.91","2,155.54"
12/3/2024,"2,157.99","2,183.00","2,184.86","2,150.59"
11/3/2024,"2,182.47","2,177.71","2,189.04","2,174.80"
8/3/2024,"2,177.51","2,159.40","2,195.20","2,154.08"
7/3/2024,"2,159.16","2,148.54","2,164.54","2,144.29"
6/3/2024,"2,148.29","2,127.95","2,152.29","2,123.65"
5/3/2024,"2,127.55","2,115.15","2,142.15","2,110.52"
4/3/2024,"2,114.99","2,082.09","2,119.95","2,079.45"
1/3/2024,"2,083.39","2,043.44","2,088.40","2,038.55"
29/2/2024,"2,043.24","2,034.92","2,050.79","2,027.75"
28/2/2024,"2,034.62","2,030.05","2,038.30","2,024.56"
27/2/2024,"2,029.64","2,030.99","2,039.99","2,028.78"
26/2/2024,"2,030.66","2,034.49","2,037.59","2,025.10"
