Date,Oil_Close,Oil_Open,Oil_High,Oil_Low
1/5/2024,79.44,81.72,81.92,79.17
30/4/2024,81.69,82.97,83.67,81.32
29/4/2024,82.98,83.61,84.31,82.77
28/4/2024,83.61,84,84.02,83.6
26/4/2024,84.14,84.22,84.91,83.8
25/4/2024,84.2,83.11,84.29,82.46
24/4/2024,83.16,83.91,84.16,82.91
23/4/2024,83.92,82.61,84.02,81.37
22/4/2024,82.58,82.42,82.78,81.22
21/4/2024,82.44,82.34,82.61,82.34
19/4/2024,82.69,82.62,86.19,81.72
18/4/2024,82.59,82.84,83.42,81.64
17/4/2024,82.86,85.53,85.58,82.61
16/4/2024,85.53,85.89,86.23,84.86
15/4/2024,85.86,85.7,86.08,84.16
14/4/2024,85.69,86.12,86.12,85.32
12/4/2024,85.6,85.62,87.77,85.47
11/4/2024,85.61,86.39,86.78,85
10/4/2024,86.41,85.5,86.54,84.73
9/4/2024,85.47,86.83,87.16,85.28
8/4/2024,86.83,86.06,87.3,84.89
7/4/2024,86.08,86.38,86.38,86
5/4/2024,86.96,87.22,87.85,86.56
4/4/2024,87.22,85.84,87.46,84.89
3/4/2024,85.81,85.73,86.45,85.11
2/4/2024,85.75,84.12,85.86,84.12
1/4/2024,84.14,83.47,84.76,82.89
31/3/2024,83.45,83.48,83.62,83.33
28/3/2024,83.44,82.06,83.53,81.83
27/3/2024,82.05,81.61,82.08,80.88
26/3/2024,81.61,82.36,82.67,81.5
25/3/2024,82.38,81.22,82.83,81.08
24/3/2024,81.23,80.95,81.28,80.95
22/3/2024,81.19,81.32,81.83,80.8
21/3/2024,81.34,82,82.31,80.71
20/3/2024,82.03,82.89,83.06,81.25
19/3/2024,82.88,82.66,83.55,82.25
18/3/2024,82.62,81.03,82.94,81
17/3/2024,81.03,81.19,81.19,81.03
15/3/2024,81.03,80.95,81.36,80.48
14/3/2024,80.97,79.78,81.5,79.69
13/3/2024,79.75,78.06,79.94,77.67
12/3/2024,78.06,78.17,78.77,77.42
11/3/2024,78.16,77.88,78.54,76.87
10/3/2024,77.89,77.92,77.95,77.75
8/3/2024,77.93,79.33,80.09,77.66
7/3/2024,79.31,79.16,79.63,78.13
6/3/2024,79.17,78.33,80.78,78.11
5/3/2024,78.34,78.81,79.59,77.64
4/3/2024,78.81,80.09,80.53,78.69
3/3/2024,80.06,80.19,80.47,79.98
1/3/2024,79.96,78.42,81,78.2
29/2/2024,78.41,78.29,79.42,78.1
28/2/2024,78.3,78.56,79.77,77.95
27/2/2024,78.58,77.81,79.13,77.34
26/2/2024,77.81,76.59,78.2,76.03
25/2/2024,76.61,76.67,76.83,76.59
23/2/2024,76.8,78.44,78.58,76.55
22/2/2024,78.45,78.3,79.12,77.44
21/2/2024,78.31,77.45,78.33,76.55
20/2/2024,77.44,78.31,78.77,77.06
