Date,SPX_Close,SPX_Open,SPX_High,SPX_Low
1/5/2024,"5,018.39","5,029.03","5,096.12","5,013.45"
30/4/2024,"5,035.69","5,103.78","5,110.83","5,035.31"
29/4/2024,"5,116.17","5,114.13","5,123.49","5,088.65"
26/4/2024,"5,099.96","5,084.65","5,114.62","5,073.14"
25/4/2024,"5,048.42","5,019.88","5,057.75","4,990.58"
24/4/2024,"5,071.63","5,084.86","5,089.48","5,047.02"
23/4/2024,"5,070.55","5,028.85","5,076.12","5,027.96"
22/4/2024,"5,010.60","4,987.33","5,038.84","4,969.40"
19/4/2024,"4,967.23","5,005.44","5,019.02","4,953.56"
18/4/2024,"5,011.12","5,031.52","5,056.66","5,001.89"
17/4/2024,"5,022.21","5,068.97","5,077.96","5,007.25"
16/4/2024,"5,051.41","5,064.59","5,079.84","5,039.83"
15/4/2024,"5,061.82","5,149.67","5,168.43","5,052.47"
12/4/2024,"5,123.40","5,171.50","5,175.00","5,107.90"
11/4/2024,"5,199.10","5,172.90","5,211.80","5,138.80"
10/4/2024,"5,160.60","5,167.90","5,178.40","5,138.70"
9/4/2024,"5,209.90","5,217.00","5,224.80","5,160.80"
8/4/2024,"5,202.40","5,211.40","5,219.60","5,197.40"
5/4/2024,"5,204.30","5,158.90","5,222.20","5,157.20"
4/4/2024,"5,147.20","5,244.10","5,256.60","5,146.10"
3/4/2024,"5,211.50","5,194.40","5,228.80","5,194.40"
2/4/2024,"5,205.80","5,204.30","5,208.30","5,184.10"
1/4/2024,"5,243.80","5,258.00","5,263.90","5,229.20"
28/3/2024,"5,254.40","5,248.00","5,264.90","5,245.80"
27/3/2024,"5,248.50","5,226.30","5,249.30","5,213.90"
26/3/2024,"5,203.60","5,228.90","5,235.20","5,203.40"
25/3/2024,"5,218.20","5,219.50","5,229.10","5,216.10"
22/3/2024,"5,234.20","5,242.50","5,246.10","5,229.90"
21/3/2024,"5,241.50","5,253.40","5,261.10","5,240.70"
20/3/2024,"5,224.60","5,181.70","5,226.20","5,171.60"
19/3/2024,"5,178.50","5,139.10","5,180.30","5,131.60"
18/3/2024,"5,149.40","5,154.80","5,175.60","5,145.50"
15/3/2024,"5,117.10","5,123.30","5,136.90","5,104.40"
14/3/2024,"5,150.50","5,175.10","5,176.90","5,123.30"
13/3/2024,"5,165.30","5,173.50","5,179.10","5,151.90"
12/3/2024,"5,175.30","5,134.30","5,179.90","5,114.50"
11/3/2024,"5,117.90","5,112.00","5,124.70","5,091.10"
8/3/2024,"5,123.70","5,164.50","5,189.30","5,117.50"
7/3/2024,"5,157.40","5,132.40","5,165.60","5,128.20"
6/3/2024,"5,104.80","5,108.00","5,128.00","5,092.20"
5/3/2024,"5,078.60","5,110.50","5,114.50","5,056.80"
4/3/2024,"5,130.90","5,131.00","5,149.70","5,127.20"
1/3/2024,"5,137.10","5,098.50","5,140.30","5,094.20"
29/2/2024,"5,096.30","5,085.40","5,105.00","5,061.90"
28/2/2024,"5,069.80","5,067.20","5,077.40","5,058.40"
27/2/2024,"5,078.20","5,074.60","5,080.70","5,057.30"
26/2/2024,"5,069.50","5,093.00","5,097.70","5,068.90"
23/2/2024,"5,088.80","5,100.90","5,111.10","5,081.50"
22/2/2024,"5,087.00","5,038.80","5,094.40","5,038.80"
21/2/2024,"4,981.80","4,963.00","4,983.20","4,946.00"
20/2/2024,"4,975.50","4,989.30","4,993.70","4,955.00"
16/2/2024,"5,005.60","5,031.10","5,038.70","4,999.50"
15/2/2024,"5,029.70","5,003.10","5,032.70","4,999.40"
14/2/2024,"5,000.60","4,976.40","5,002.50","4,956.40"
13/2/2024,"4,953.20","4,967.90","4,971.30","4,920.30"
12/2/2024,"5,021.80","5,026.80","5,048.40","5,016.80"
9/2/2024,"5,026.60","5,004.20","5,030.10","5,000.30"
8/2/2024,"4,997.90","4,995.20","5,000.40","4,987.10"
7/2/2024,"4,995.10","4,973.10","4,999.90","4,969.10"
6/2/2024,"4,954.20","4,950.20","4,957.80","4,934.90"
5/2/2024,"4,942.80","4,957.20","4,957.20","4,918.10"
2/2/2024,"4,958.60","4,916.10","4,975.30","4,908.00"
1/2/2024,"4,906.20","4,861.10","4,907.00","4,853.50"
31/1/2024,"4,845.60","4,899.20","4,906.80","4,845.10"
30/1/2024,"4,925.00","4,925.90","4,931.10","4,916.30"
29/1/2024,"4,927.90","4,892.90","4,929.30","4,887.40"
26/1/2024,"4,891.00","4,888.90","4,906.70","4,881.50"
25/1/2024,"4,894.20","4,886.70","4,898.10","4,869.30"
24/1/2024,"4,868.60","4,888.60","4,903.70","4,865.90"
23/1/2024,"4,864.60","4,856.80","4,866.50","4,844.40"
22/1/2024,"4,850.40","4,853.40","4,868.40","4,844.10"
19/1/2024,"4,839.80","4,796.30","4,842.10","4,785.90"
18/1/2024,"4,780.90","4,760.10","4,785.80","4,740.60"
17/1/2024,"4,739.20","4,739.10","4,744.20","4,714.80"
16/1/2024,"4,766.00","4,772.40","4,782.30","4,747.10"
12/1/2024,"4,783.80","4,791.20","4,802.40","4,769.00"
11/1/2024,"4,780.20","4,792.10","4,798.50","4,739.60"
10/1/2024,"4,783.40","4,759.90","4,790.80","4,756.20"
9/1/2024,"4,756.50","4,741.90","4,765.50","4,730.40"
8/1/2024,"4,763.50","4,703.70","4,764.50","4,699.80"
5/1/2024,"4,697.20","4,690.60","4,721.50","4,682.10"
4/1/2024,"4,688.70","4,697.40","4,726.80","4,687.50"
3/1/2024,"4,704.80","4,725.10","4,729.30","4,699.70"
2/1/2024,"4,742.80","4,745.20","4,754.30","4,722.70"
29/12/2023,"4,769.80","4,782.90","4,788.40","4,752.00"
28/12/2023,"4,783.40","4,786.40","4,793.30","4,781.00"
27/12/2023,"4,781.60","4,773.40","4,785.40","4,768.90"
26/12/2023,"4,774.80","4,758.90","4,784.70","4,758.40"
